RestaurantID,Cuisine,Rating,NumberOfReview
"AeLz0uoZH3hxmkcXlwUIGg","Chinese",3,83
"77zkzHD6Kavy1vT_sPXxJA","Chinese",4,21
"agCuWjaUJ8xBO_PDDQRiGw","Cafes",4,89
"G4K_mNlM0oLKo8N__Ne2AA","Chinese",3.5,60
"Jn7Wtek5_R12TKp2VUJuhw","Noodles",3.5,137
"uaFHoq_a5XqxF_bsOK9_Qg","Chinese",3.5,762
"83ZJrizS8F7HuvExtqCpNQ","Chinese",4,22
"8td6qiBvZ_En6gSpPjXWzQ","Shanghainese",4,49
"TadRviRC9Z1WhgSsGi3Yow","Chinese",3.5,75
"vSkCDRWX6VvP4PJHHFgoDw","Chinese",4,8
"rLu0Kbs0fCycSDzeDM2U_g","Chinese",3.5,24
"rkeH5HJIuX7ZcOaYNum9xA","Cantonese",3.5,138
"U5dCWjAxrvLLMH1ErpGfvw","Chinese",3.5,97
"KBZQN540Xz6LbXLRVOMc0w","Chinese",3.5,157
"y8JSKjpWeQg8vzm5wovOwQ","Shanghainese",3.5,169
"431U5dEbFQsp0esrYhdGfg","Chinese",3,34
"B9JGlCZ6XkKPXXhTaYwAlA","Chinese",4,26
"2lJwfmyRKO8zFz5Xuiw11w","Chinese",3,274
"osnb51lPIHxUKRlcg7idwA","Chinese",4,174
"MYPes7EWP5aLiVG1Z_9eFQ","Dim Sum",3,110
"eNZ4VK4G9z5LPdG756pixw","Chinese",3,17
"SFleMiroXTeWnXfonRic_w","Chinese",4,8
"0mRtZ39VQI5CfHEJ7zDwug","Cantonese",4,135
"8SM_aKKwlK8JNaJTr60c6Q","Chinese",3,45
"o2z5T8jD7p3kauFwjt_WNw","Chinese",4,12
"_Ge2eC89Z_jlaDDWglfT8g","Thai",4.5,91
"VdNb9hmg9Fh_tbdS3qHVsw","Chinese",4,24
"4cP9IJekfdFmx8vpMVoY9Q","Chinese",3.5,20
"6KQ_jlXjOgb_uVeZxgimqQ","Chinese",3.5,16
"1YGpTYD8xIuUpK_beMhzSw","Noodles",3.5,87
"XYdIb4Y9fCXNiHY3S1WAYw","Chinese",4.5,12
"4HvBAmpVXUwW5BucwMR13Q","Chinese",3,14
"bzr6GEQyjpgbkhHAsYaljQ","Chinese",3.5,41
"hdiQrGDT8enOzpxaipBzNA","Chinese",3,102
"FDhOPRZ01PDEEH_QCnVIyQ","Caribbean",3.5,34
"igFRhlkG_cKF3a87fbVexw","Chinese",4,17
"Sj2StOWkhHIPE6_sS5RMCQ","Chinese",3,186
"_RhAY03oEBw9HNwUAJyBCw","Chinese",2.5,385
"EL6Qg5LzrfhDFnF7MUfGLA","Chinese",2.5,36
"3Rah_cvFk79duFQ83voQ5A","Hot Pot",4,210
"fUhBM10aNrkVGvHJ2Hbhqw","Chinese",3,188
"CqvbXj6siqnBKaTjqNWwuw","Chinese",3.5,5
"VEjkxniAlG35cR3pjHvF_A","Chinese",3.5,53
"XcK_u5cH25S6cfOhNXdueQ","Chinese",5,3
"rhEfNtVrckQj_Ns44OBHgA","Chinese",3.5,182
"l1JP5MiQja95rF99qeJ1zw","Chinese",3.5,46
"bDsXyYwzk4I9_7l51D_gaA","Chinese",3.5,132
"h4co9O0SLuvhTtr_Cs9IIQ","Chinese",3.5,22
"LhBZsjkb6aKdLIq9w9_J2w","Chinese",3,38
"_nloHouWAuEw7g7SgbAWOQ","Vietnamese",4.5,36
"D_3KVI4IlQckxA5HMb81Kw","Chinese",4,17
"6wJOojpF2c4lLeBNbTBB0A","Asian Fusion",4,140
"R0y03SFOY0BdHRUT1LSO0Q","Shanghainese",4,516
"c2Io7q_9qu8jKCIlTWLqFA","Chinese",4.5,7
